,Rank,Name,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Height,Weight
3138,3139,Emanuel Terry,3,7.6,1.3,2.3,0.5710000000000001,0.0,0.0,0.0,0.7,1.3,0.5,0.7,1.3,1.0,1.3,2.3,0.7,1.0,0.0,3.3,205.74,99.79024
3147,3148,Wayne Simien,51,9.9,1.3,2.8,0.469,0.0,0.0,0.0,0.7,0.8,0.8540000000000001,0.5,1.6,0.8,1.1,1.9,0.2,0.3,0.0,3.3,205.74,113.398
3148,3149,Jud Buechler,720,11.7,1.3,3.1,0.433,0.4,1.0,0.366,0.3,0.4,0.633,0.4,1.0,0.6,1.2,1.8,0.8,0.4,0.2,3.3,198.12,103.418976
3149,3150,DeJuan Wheat,80,9.2,1.2,3.0,0.38299999999999995,0.4,1.0,0.39,0.6,0.9,0.7,0.7,0.9,0.2,0.5,0.7,1.6,0.4,0.0,3.3,182.88,74.84268
3153,3154,Toby Bailey,73,9.6,1.3,3.1,0.40700000000000003,0.0,0.2,0.2,0.7,1.1,0.6920000000000001,0.5,1.1,0.7,1.0,1.7,0.6,0.3,0.1,3.3,198.12,96.615096
3155,3156,Nolan Smith,84,9.9,1.3,3.5,0.371,0.2,0.9,0.26,0.5,0.7,0.7140000000000001,0.8,1.0,0.3,0.7,1.0,1.2,0.3,0.0,3.3,187.96,83.91452
3156,3157,Brian Oliver,118,10.0,1.3,3.4,0.38799999999999996,0.0,0.2,0.22699999999999998,0.6,0.9,0.705,0.7,1.0,0.3,0.8,1.0,1.0,0.4,0.1,3.3,193.04,95.25432
3160,3161,Chris McCullough,59,9.0,1.3,3.1,0.426,0.3,0.8,0.306,0.4,0.7,0.5479999999999999,0.3,0.9,0.7,1.2,1.9,0.3,0.5,0.3,3.3,210.82,90.7184
3161,3162,Damjan Rudez,146,11.2,1.2,2.8,0.424,0.7,1.9,0.373,0.2,0.2,0.774,0.5,1.0,0.1,0.5,0.6,0.6,0.2,0.0,3.3,208.28,90.7184
3163,3164,Nate Huffman,7,11.3,1.3,3.6,0.36,0.0,0.0,0.0,0.7,1.1,0.625,0.4,1.9,1.3,2.0,3.3,0.7,0.1,0.4,3.3,215.9,111.13004
3165,3166,Brandon Hunter,67,9.4,1.3,2.8,0.47600000000000003,0.0,0.0,0.0,0.6,1.2,0.488,0.7,1.2,1.1,1.7,2.8,0.3,0.3,0.1,3.3,200.66,117.93392
